METHOD;n;N;m;TIME;RMSE
coK;1000;1000;1;0.3337588310241699;0.3933634089111548
NcoK;1000;166;6;7.16624903678894;0.3962554534548961
coK;1000;1000;1;0.6020171642303467;0.4085525988107527
NcoK;1000;166;6;6.077561855316162;0.4242031402431474
coK;1000;1000;1;0.2751283645629883;0.4172011833911435
NcoK;1000;166;6;6.691468715667725;0.4231291806278166
coK;1000;1000;1;0.2986207008361816;0.4566690584098754
NcoK;1000;166;6;7.385046720504761;0.4570412300439406
coK;1000;1000;1;0.3169872760772705;0.3956863973190199
NcoK;1000;166;6;7.550213098526001;0.397010226325983
coK;1000;1000;1;0.3206276893615722;0.3935265622247139
NcoK;1000;166;6;7.333882093429565;0.3916734999247205
coK;1000;1000;1;0.3168108463287353;0.4338987884884712
NcoK;1000;166;6;7.349446058273315;0.4400984518524371
coK;1000;1000;1;0.2838163375854492;0.4208522932764664
NcoK;1000;166;6;7.583552122116089;0.4255501867425194
coK;1000;1000;1;0.3171594142913818;0.4612323920103975
NcoK;1000;166;6;7.3664209842681885;0.4685900395894699
coK;1000;1000;1;0.3007941246032715;0.4480718459035615
NcoK;1000;166;6;7.3328857421875;0.4496983408991944
coK;3000;3000;1;2.941246032714844;0.3633196874950429
NcoK;3000;300;10;25.59349250793457;0.362162484924063
coK;3000;3000;1;3.032865762710572;0.3485747486729001
NcoK;3000;300;10;26.127912759780884;0.3535418553641866
coK;3000;3000;1;3.2352004051208496;0.3236195593196753
NcoK;3000;300;10;25.68983578681945;0.325351979273524
coK;3000;3000;1;3.249579906463623;0.3360211070231717
NcoK;3000;300;10;27.53387355804444;0.3351765351647889
coK;3000;3000;1;3.134127616882324;0.3205166440131407
NcoK;3000;300;10;26.03421759605408;0.323739477689675
coK;3000;3000;1;2.9998087882995605;0.3395610909784441
NcoK;3000;300;10;82.65847826004028;0.3352255999823474
coK;3000;3000;1;3.1782257556915283;0.3321626741091853
NcoK;3000;300;10;25.083945512771606;0.3329028479233826
coK;3000;3000;1;3.135601758956909;0.2982935056723306
NcoK;3000;300;10;25.038403034210205;0.3040153805222759
coK;3000;3000;1;3.275904655456543;0.3025300271706651
NcoK;3000;300;10;29.020638704299927;0.3021925555522084
coK;3000;3000;1;3.3366661071777344;0.3254031001050947
NcoK;3000;300;10;26.49963855743408;0.3253518299378295
coK;5000;5000;1;11.472249031066896;0.3236149310103793
NcoK;5000;357;14;53.16527724266052;0.3242386235446878
coK;5000;5000;1;11.066981554031372;0.2882209721848625
NcoK;5000;357;14;53.53254771232605;0.2977536995516167
coK;5000;5000;1;11.0794358253479;0.2892811876860454
NcoK;5000;357;14;52.357398986816406;0.2867257941342494
coK;5000;5000;1;11.097173690795898;0.2908892101483234
NcoK;5000;357;14;52.6355185508728;0.2918513894582037
coK;5000;5000;1;10.716937780380247;0.2669482918984519
NcoK;5000;357;14;53.10740780830383;0.2693022976130954
coK;5000;5000;1;11.016597270965576;0.2755186042060433
NcoK;5000;357;14;52.30577516555786;0.2730700594944695
coK;5000;5000;1;10.736644983291626;0.2862159995678549
NcoK;5000;357;14;52.58381271362305;0.2882098393851972
coK;5000;5000;1;11.297597408294678;0.2324524981463596
NcoK;5000;357;14;53.43989944458008;0.2304579934990001
coK;5000;5000;1;11.195375204086304;0.3045440214250891
NcoK;5000;357;14;51.77480530738831;0.3064655940347848
coK;5000;5000;1;11.583667755126951;0.3008479035548315
NcoK;5000;357;14;52.800607681274414;0.2992705727221352
coK;7500;7500;1;;
NcoK;7500;441;17;103.29731488227844;0.2419315111066689
coK;7500;7500;1;36.999645709991455;0.275314196908896
NcoK;7500;441;17;98.48302388191225;0.2776749260121618
coK;7500;7500;1;36.342609167099;0.2560927837802977
NcoK;7500;441;17;99.03424835205078;0.2562654743935794
coK;7500;7500;1;37.51647734642029;0.2625582735005327
NcoK;7500;441;17;99.48505640029909;0.2603730665765193
coK;7500;7500;1;37.486496448516846;0.2612652508057835
NcoK;7500;441;17;100.70841145515442;0.2673144979430917
coK;7500;7500;1;38.88016819953919;0.2622795585191093
NcoK;7500;441;17;117.8153624534607;0.2643200766152248
coK;7500;7500;1;;
NcoK;7500;441;17;172.10819697380066;0.2519075647815865
coK;7500;7500;1;;
NcoK;7500;441;17;98.81537580490112;0.2416077182018612
coK;7500;7500;1;40.8370840549469;0.2429808830896148
NcoK;7500;441;17;97.32016897201538;0.2426370746975895
coK;7500;7500;1;35.76538181304932;0.2467076689233323
NcoK;7500;441;17;94.83431911468506;0.2499383118090308
coK;10000;10000;1;;
NcoK;10000;500;20;175.19537496566772;0.2535587087090721
coK;10000;10000;1;;
NcoK;10000;500;20;173.33762502670288;0.2260257332791199
coK;10000;10000;1;;
NcoK;10000;500;20;181.36845088005063;0.2647159091537282
coK;10000;10000;1;;
NcoK;10000;500;20;184.73893976211548;0.2397805542115316
coK;10000;10000;1;;
NcoK;10000;500;20;177.2543432712555;0.2271453424587925
coK;10000;10000;1;;
NcoK;10000;500;20;172.8276870250702;0.2398777221727567
coK;10000;10000;1;;
NcoK;10000;500;20;170.3190851211548;0.2597300421791091
coK;10000;10000;1;;
NcoK;10000;500;20;178.6197350025177;0.210229660249687
coK;10000;10000;1;;
NcoK;10000;500;20;187.74562335014343;0.2478697465168377
coK;10000;10000;1;;
NcoK;10000;500;20;178.66200232505798;0.221523047720495
coK;12500;12500;1;;
NcoK;12500;568;22;328.6243419647217;0.2404155947806476
coK;12500;12500;1;;
NcoK;12500;568;22;309.52664375305176;0.2628102591655701
coK;12500;12500;1;;
NcoK;12500;568;22;296.4273407459259;0.2122565373647592
coK;12500;12500;1;;
NcoK;12500;568;22;342.4178924560547;0.2562401187521178
coK;12500;12500;1;;
NcoK;12500;568;22;507.339498758316;0.2253821801041278
coK;12500;12500;1;;
NcoK;12500;568;22;396.2690382003784;0.2213171044385119
coK;12500;12500;1;;
NcoK;12500;568;22;370.99005484580994;0.218457393107667
coK;12500;12500;1;;
NcoK;12500;568;22;375.2414586544037;0.2235713199735254
coK;12500;12500;1;;
NcoK;12500;568;22;344.2429485321045;0.2318605619426522
coK;12500;12500;1;;
NcoK;12500;568;22;435.7120814323425;0.1962493386396007